"扁霖老ID","矫焙备内靛","矫焙备疙","醚积劝牢备荐","郴惫牢积劝牢备荐","厘扁眉幅寇惫牢牢备荐","窜扁眉幅寇惫牢牢备荐","老弥措牢备荐","老弥家牢备荐","林埃牢备荐(09~18)","具埃牢备荐(19~08)","老弥措捞悼牢备荐","辑匡寇蜡涝牢备荐","悼老磊摹备青沥悼埃捞悼牢备荐","磊摹备埃捞悼牢备荐"
"20210425","11290","己合备","443639.45680","426291.84200","14728.45920","2619.15560","465470.80920","416126.41780","427753.49210","454986.57450","168361.07380","20646.80240","91937.32060","55776.95080"
"20210424","11290","己合备","437840.32410","421201.82570","14711.10870","1927.38980","459598.45900","408104.13620","418491.12470","451661.18080","173192.06950","22332.52960","88407.36780","62452.17210"
"20210423","11290","己合备","435185.36780","418784.71860","14991.80530","1408.84390","465491.92740","400532.96140","408959.39910","453918.20260","192984.50380","22768.37600","93289.93880","76926.18900"
"20210422","11290","己合备","438600.35210","421482.46410","15150.64420","1967.24380","467918.04400","404219.35790","411963.45150","457626.70970","197478.01740","23795.99210","94515.73460","79166.29070"
"20210421","11290","己合备","439620.82590","422390.00160","15306.60160","1924.22270","466788.54400","406764.88450","413694.96400","458139.29870","200415.20430","24139.00400","95286.48550","80989.71480"
"20210420","11290","己合备","439129.50660","421513.58780","15131.09460","2484.82420","466883.42380","403140.28970","412291.22890","458299.70500","199491.47480","23696.82220","95415.24410","80379.40850"
"20210419","11290","己合备","439863.02470","422156.04350","15027.26350","2679.71770","468065.21900","404600.67610","412743.15950","459234.35700","196328.07480","22334.97850","96001.37290","77991.72340"
"20210418","11290","己合备","446964.27350","429410.74550","14621.08520","2932.44280","467531.82400","419059.72360","430871.08040","458459.41140","169375.49580","19958.70620","92165.15530","57251.63430"
"20210417","11290","己合备","443367.24500","425140.29470","14693.74570","3533.20460","462881.12510","416474.21930","425760.05990","455943.80570","172644.32770","21767.26460","89067.68400","61809.37910"
"20210416","11290","己合备","438868.27820","421307.21460","14853.59370","2707.47000","469102.00600","406467.70640","412961.06700","457373.42910","191989.45290","21812.91260","93713.39440","76463.14590"
"20210415","11290","己合备","438254.51280","420714.61210","14991.08930","2548.81140","467755.45270","403345.43760","411309.93430","457500.64020","197550.59670","22607.36490","95553.12910","79390.10270"
"20210414","11290","己合备","438593.39240","420985.01870","14903.63840","2704.73520","465711.72440","404879.76940","412772.91550","457036.59010","202056.20450","23026.72920","98316.71860","80712.75670"
"20210413","11290","己合备","440883.78340","423003.97220","15077.24580","2802.56550","468205.68190","406935.79420","414478.55270","459744.66250","198082.08250","22928.48910","95366.63090","79786.96250"
"20210412","11290","己合备","441741.24020","423902.45990","15033.52940","2805.25090","467520.42090","409645.77900","416749.52520","459592.46520","193372.58140","22131.58690","94544.35640","76696.63810"
"20210411","11290","己合备","443802.97410","426569.81640","14294.35960","2938.79810","465864.42550","414142.09820","426899.70520","455876.73770","170101.20750","20202.90730","93064.24240","56834.05780"
"20210410","11290","己合备","438421.32560","420864.74350","14402.54840","3154.03370","461383.28610","408145.31000","418094.64400","452940.38380","177315.48960","23640.81170","88845.79580","64828.88210"
"20210409","11290","己合备","436254.43000","418650.96000","14628.93070","2974.53930","467947.58710","400713.43660","408803.83180","455862.00020","194521.67990","22133.43130","93596.69770","78791.55090"
"20210408","11290","己合备","440412.78400","421875.36550","14991.22340","3546.19510","470007.01360","405503.18030","413044.51170","459961.55000","198322.25840","22708.70860","95618.08540","79995.46440"
"20210407","11290","己合备","441948.80940","422944.01990","15133.49400","3871.29550","470172.90560","407940.19130","415027.51640","461178.30440","199256.12810","22701.69230","96962.71880","79591.71700"
"20210406","11290","己合备","441281.22220","421793.82230","14953.07440","4534.32550","470827.94540","405184.21760","413959.21080","460796.94460","200364.22820","22988.78280","96417.61350","80957.83190"
"20210405","11290","己合备","441937.08390","422289.04570","14880.46360","4767.57450","471698.67470","405734.04270","413845.78460","462002.29770","198106.32140","22256.91010","97202.57190","78646.83940"
"20210404","11290","己合备","450846.64200","432194.51270","14707.13810","3944.99130","470336.81420","421784.54020","434989.82140","462172.94250","172383.66810","20724.07260","93283.45910","58376.13640"
"20210403","11290","己合备","448625.19960","430355.01190","14836.78340","3433.40430","463945.88420","427808.32970","434595.06550","458646.72400","169914.91700","21372.02230","89014.79290","59528.10180"
"20210402","11290","己合备","437623.69090","419436.89110","14704.53060","3482.26920","470102.12180","402745.50350","410409.22610","457062.59430","197084.75930","22356.63240","95451.57190","79276.55500"
"20210401","11290","己合备","441176.10750","422776.29130","15050.89780","3348.91840","471471.32650","405768.97090","413820.84300","460715.58210","199716.40950","22756.79820","96312.26270","80647.34860"
"20210331","11290","己合备","440195.34490","421714.26030","15009.13390","3471.95070","470272.48800","404619.32630","412514.74290","459967.20350","193384.22610","29748.97440","87903.02730","75732.22440"
"20210330","11290","己合备","441109.65330","422526.66350","15060.40880","3522.58100","470113.66040","405127.97930","413951.63130","460508.24050","193039.82060","29565.31200","88398.76680","75075.74180"
"20210329","11290","己合备","441687.35000","423049.36920","15048.89900","3589.08180","470232.26230","407758.04370","414987.23870","460758.85810","189044.22480","28144.24890","87573.19070","73326.78520"
"20210328","11290","己合备","453923.39550","435846.45740","14770.65400","3306.28410","469575.79440","434961.52860","443286.46720","461521.20150","160100.63140","23992.18340","83978.81710","52129.63090"
"20210327","11290","己合备","446776.54340","428220.05660","14775.64220","3780.84460","464896.06140","422814.71970","430308.14740","458539.68350","166148.58820","25873.46410","82288.19760","57986.92650"
"20210326","11290","己合备","437772.53710","419598.68570","14745.29070","3428.56070","469014.10900","402648.30180","410523.40450","457236.20310","189158.82010","28106.77450","87005.51280","74046.53280"
"20210325","11290","己合备","439967.92850","421757.77340","14986.16080","3223.99430","469263.31540","404781.79780","413043.61660","459199.57980","193022.78550","29384.52580","88346.83010","75291.42960"
"20210324","11290","己合备","440804.52860","422880.75130","14947.83260","2975.94480","469276.25820","407233.31410","413805.12950","460089.81370","193524.26360","29555.15890","88562.06130","75407.04340"
"20210323","11290","己合备","441418.82480","423331.91020","14886.45360","3200.46100","470532.52210","406430.89330","414186.47430","460870.50380","193330.79480","29690.06180","88142.51390","75498.21910"
"20210322","11290","己合备","442542.63120","424324.81880","14887.52320","3330.28920","470486.73670","407569.94060","415699.88360","461716.02230","191497.94630","28462.63040","88629.56620","74405.74970"
"20210321","11290","己合备","452318.13760","434538.82380","14494.38740","3284.92650","469312.18340","427547.78770","438228.45900","462382.19380","163348.82550","24205.22920","85631.98000","53511.61630"
"20210320","11290","己合备","448880.01790","430819.43930","14675.58650","3384.99210","466684.62290","425032.97120","433017.55170","460210.35080","166547.72590","25064.35420","83525.93940","57957.43230"
"20210319","11290","己合备","439656.38080","421698.32410","14821.44510","3136.61160","470115.48250","405742.98020","413340.70530","458453.29190","190861.13920","28100.68810","87835.17720","74925.27390"
"20210318","11290","己合备","441551.59690","423434.96360","14850.09820","3266.53510","470852.57900","407776.72660","414875.83950","460605.70930","192050.68900","28751.87920","87899.12380","75399.68600"
"20210317","11290","己合备","442731.33170","424070.42290","15014.71290","3646.19590","470703.66750","409404.88200","416569.15660","461418.59970","194331.82710","29404.25690","88668.48260","76259.08760"
"20210316","11290","己合备","443494.34770","424647.23380","15048.56190","3798.55200","471468.35380","409878.70600","417141.67050","462317.68850","192678.28200","29129.55180","88074.59030","75474.13990"
"20210315","11290","己合备","443496.94730","424156.28260","15044.45360","4296.21110","472870.85330","407999.62290","415922.48200","463192.99400","190141.94850","28442.24920","88340.95050","73358.74880"
"20210314","11290","己合备","453144.62030","434261.17350","14625.41900","4258.02780","472088.29400","427480.01520","438765.68340","463415.28950","163268.27020","24473.45390","85859.41070","52935.40560"
"20210313","11290","己合备","446394.08000","427266.48380","14580.05100","4547.54520","467864.06870","415897.72860","427507.41310","459884.55640","168771.76880","25901.05820","83530.80380","59339.90680"
"20210312","11290","己合备","442925.17460","423197.64130","14853.57450","4873.95880","472313.53200","411283.50260","417450.36370","461121.46810","189705.29820","27832.29600","87545.92880","74327.07340"
"20210311","11290","己合备","444866.28720","424309.29910","15011.54710","5545.44100","473770.26100","410512.65860","418358.90260","463800.13340","191765.60110","28798.90390","88367.50120","74599.19600"
"20210310","11290","己合备","445456.25030","424808.80650","15208.37410","5439.06970","473705.40180","412371.20730","419315.55730","464128.17390","194560.18900","28980.61250","89350.66460","76228.91190"
"20210309","11290","己合备","445370.31700","424912.51480","15072.48720","5385.31500","473806.81200","410626.30580","418361.63980","464662.22930","192610.75240","28387.35420","88894.17010","75329.22810"
"20210308","11290","己合备","447038.36900","425781.17730","15024.51530","6232.67640","475274.11170","413391.80200","420447.54130","466031.81730","192141.83780","27856.97740","89201.37860","75083.48180"
"20210307","11290","己合备","458052.93770","436981.10030","14714.77970","6357.05780","474802.98910","431155.32800","443516.39530","468436.18230","164318.37710","23270.80450","87130.34800","53917.22460"
"20210306","11290","己合备","450987.17090","429950.84520","14685.91140","6350.41430","470337.96640","422091.10000","432476.15490","464209.32530","167948.78550","23849.84280","84905.56340","59193.37930"
"20210305","11290","己合备","444269.50580","422229.19140","14858.55350","7181.76080","474394.30850","411430.49510","417897.05500","463106.97060","190394.54210","26777.53270","88344.78370","75272.22570"
"20210304","11290","己合备","445329.17700","424355.15650","14905.20610","6068.81450","473541.81330","412067.53060","419139.92940","464035.78250","191874.17080","28512.39830","89260.28420","74101.48830"
